Classification Id,Currency ISO Code,Default,Default Quantity,Max Quantity,Min Quantity,Modifiable,Sequence,Apttus_Config2__ClassificationId__r.Name,Apttus_Config2__ProductId__r.Product Name
"CP-0000017335","CHF","false","1.0","1.0","0.0","true","","Oxford Other","YAF visa service fee 20+"
"CP-0000017336","CHF","false","1.0","1.0","0.0","true","","Paris Other","YAF visa service fee 20+"
"CP-0000017337","CHF","false","1.0","1.0","0.0","true","","Saint Raphaël Other","YAF visa service fee 20+"
"CP-0000017338","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Other","YAF visa service fee 20+"
"CP-0000017339","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Other","YAF visa service fee 20+"
"CP-0000017340","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Other","YAF visa service fee 20+"
"CP-0000017341","CHF","false","1.0","1.0","0.0","true","","Singapore Other","YAF visa service fee 20+"
"CP-0000017342","CHF","false","1.0","1.0","0.0","true","","Costa Rica Other","Activity Voucher 50000"
"CP-0000017343","CHF","false","1.0","1.0","0.0","true","","Bournemouth Other","Activity Voucher - One Unit"
"CP-0000017344","CHF","false","1.0","1.0","0.0","true","","Brisbane Other","Activity Voucher - One Unit"
"CP-0000017345","CHF","false","1.0","1.0","0.0","true","","Bristol Other","Activity Voucher - One Unit"
"CP-0000017346","CHF","false","1.0","1.0","0.0","true","","Dublin Other","Activity Voucher - One Unit"
"CP-0000017347","CHF","false","1.0","1.0","0.0","true","","Honolulu Other","Activity Voucher - One Unit"
"CP-0000017348","CHF","false","1.0","1.0","0.0","true","","London Other","Activity Voucher - One Unit"
"CP-0000017349","CHF","false","1.0","1.0","0.0","true","","Miami Other","Activity Voucher - One Unit"
"CP-0000017350","CHF","false","1.0","1.0","0.0","true","","Oxford Other","Activity Voucher - One Unit"
"CP-0000017351","CHF","false","1.0","1.0","0.0","true","","Paris Other","Activity Voucher - One Unit"
"CP-0000017352","CHF","false","1.0","1.0","0.0","true","","Saint Raphaël Other","Activity Voucher - One Unit"
"CP-0000017353","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Other","Activity Voucher - One Unit"
"CP-0000017354","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Other","Activity Voucher - One Unit"
"CP-0000017355","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Other","Activity Voucher - One Unit"
"CP-0000017356","CHF","false","1.0","1.0","0.0","true","","Singapore Other","Activity Voucher - One Unit"
"CP-0000017357","CHF","false","1.0","1.0","0.0","true","","Costa Rica Other","Activity Voucher 10000"
"CP-0000017358","CHF","false","1.0","1.0","0.0","true","","Berlin Courses","Intensive Course"
"CP-0000017359","CHF","false","1.0","1.0","0.0","true","","Berlin Courses","General Course"
