Active,Actual Icon Size,Available Programs,AY Course Type,Bundle Invoice Level,Configuration Type,Course Pricing,Currency ISO Code,Destination Location,Discontinued Date,Effective Date,Effective Start Date,Enable Start Date & End Date,Exclude From Sitemap,Expiration Date,Has Attributes,Has Defaults,Has Options,Has Search Attributes,Is Optional,Launch Date,Must Configure,Price Override Allowed,Product Code,Product Description,Product Family,Product Name,Product Subtype,Product Type,Qunatity Modifiable,TI Pricing,Uom,Version
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESM-BAVA","","Accommodation","Bavaria Multi","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSURFHD","","","Surfing Excursion","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPTHORPE","","","Thorpe Park Full Day","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPUSFD","","","Universal Studios Excursion","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPUSHWFD","","","Universal Studios Hollywood Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPUSHWON","","","Universal Studios Hollywood Overnight Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPUSIA","","","Universal Studios or Islands of Adventure","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPVALBN","","","Valetta By Night","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPVAN","","","Vancouver Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPVANWE","","","Vancouver Weekend Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPWASL","","","Water Activity or Surfing Lessons","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPWINFD","","","Winchester Full Day","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPWNWFD","","","Florida Disneys Blizzard Beach","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPWOODS","","","Woodlands Leisure Park","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPWTRPARK","","","Splashdown Waterpark Full Day","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPWTSP","","","Florida Resort Water Sports Package","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","ORC","","","Orientation Camp","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","ORI","","","Orientation Meeting Fee","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PA","","","Package","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","PAEI","","","Price Adjustment ERIKA Insurance","Travel Insurance","Insurance","false","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PAMP","","","Paris Amsterdam (mini)","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PCD","","","Passport Courier Delivery","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PCF","","","Program Change Fee","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PEAPR","","","Amsterdam, Paris & Rome Pre Tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PEDIS","","","Discover Disney Pre Tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PE-LA","","","Lights, Camera, Los Angeles Pre Tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PEPAMP","","","Paris to Amsterdam reduced Pre-Tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PE-PVR","","","Paris, Venice & Rome Pre Tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PEUP","","","Paris & EuroDisney (with Versailles)","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PF","","","Processing Fee","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PFPY","","","Program fees previous years","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PHS","","","Private High School Fee","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PITP","","","Tour Paris, Venice & Rome","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PITPT","","","Transfer LON airport-St Pancras","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","PQABNB","","Accommodation","Accommodation provided by AirBnB starting from","Hotel","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PREADM","","","Pre-departure admin fee","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PREADMCN","","","Pre-departure admin fee CN/HK","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PREWE","","","Preparation Weekend","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PREXT","","","Program Extension Fee","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PRL","","","Private Lessons","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PSS","","","Peak Season Supplement","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","PSTOUR","","","Post Tour","Post Tours","Travel","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESM-BESU","","Accommodation","Berlin Summer Residence Multi","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESM-CAPR","","Accommodation","Capranica Multi","Residence","Accommodation","true","false","Week","1.0"
